,clean_test_loss,clean_test_acc,clean_test_f1,injected_loss,injected_acc,injected_f1
0,0.32310912013053894,0.9231651376146789,0.9231642281768864,0.0003277965006418526,1.0,1.0
1,0.34071585536003113,0.9208715596330275,0.9207438757888664,8.475309005007148e-05,1.0,1.0
2,0.30323296785354614,0.9334862385321101,0.9334074187211316,8.729027467779815e-05,1.0,1.0
3,0.3513108491897583,0.930045871559633,0.9300126443541841,4.8346024414058775e-05,1.0,1.0
4,0.32924067974090576,0.9277522935779816,0.9277476375544991,0.00039821292739361525,1.0,1.0
5,0.3332204818725586,0.9197247706422018,0.9197209698716904,0.0004841493209823966,1.0,1.0
6,0.36778196692466736,0.9277522935779816,0.9277407949617436,0.0006808692705817521,1.0,1.0
7,0.3879280388355255,0.9162844036697247,0.9162155367688964,0.00014343396469485015,1.0,1.0
8,0.37329724431037903,0.9185779816513762,0.9185770179187901,0.0010721010621637106,1.0,1.0
9,0.36933401226997375,0.9208715596330275,0.920841473763148,0.00014624337200075388,1.0,1.0
